burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
7500,250000.0B,2105713.2938617193,0,0,0,0.05391102017769901,0.05391102017769901,1895290.0,1997999.1228355092
750,125000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
1500,5000.0B,1956248.713640811,72,0,0,0.07034553265255962,0.07034553265255962,1736330.0,1827679.6174341773
150000,1500.0B,3941023.072748131,230,0,0,1.438728942555635,1.438728942555635,1608760.0,1616015.2134899362
1500,1500.0B,1706217.2205196081,94,0,0,0.16874128376339725,0.16874128376339725,1525520.0,1459875.8888926343
37500,1500.0B,2486697.921216501,156,0,0,0.5638047947723916,0.5638047947723916,1509300.0,1590158.777827788
37500,7500.0B,2541044.420241773,130,0,0,0.4232733920735696,0.4232733920735696,1694170.0,1785352.2973121284
7500,10000.0B,2206838.1562814824,91,0,0,0.1673257028051609,0.1673257028051609,1793630.0,1890507.6372243876
1500,125000.0B,1981160.4353012103,7,0,0,-0.005833277568852637,0.005833277568852637,1890930.0,1992784.9027741107
37500,150000.0B,2129733.1407137387,0,0,0,0.05391187050033611,0.05391187050033611,1916910.0,2020788.6449771794
750,150000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
1500,10000.0B,2011470.9879417627,76,0,0,0.09119707157166505,0.09119707157166505,1749300.0,1843361.7907759002
750,200000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
750,100000.0B,0.0,14,0,0,-1.0,1.0,77.8378,43006.47088103534
7500,500.0B,0.0,14,0,0,-1.0,1.0,115.315,115.2111063506522
7500,500000.0B,2105713.2938617193,0,0,0,0.05391102017769901,0.05391102017769901,1895290.0,1997999.1228355092
