burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
1500,5000.0B,1303745.795594593,74,0.027777777777777776,0.027777777777777776,0.09091121378026475,0.09091121378026475,1178760.0,1195097.9870092326
37500,100000.0B,1941023.7388724037,23,0.045454545454545456,0.045454545454545456,0.10869853494436002,0.10869853494436002,1647410.0,1750722.7417503658
150000,10000.0B,1788782.9648450664,286,0.007042253521126761,0.007042253521126761,-0.07225325320044271,0.07225325320044271,1747740.0,1928094.0310659357
750,100000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
37500,50000.0B,1822894.3890508558,126,0.024390243902439025,0.024390243902439025,-0.024610827116908818,0.024610827116908818,1705160.0,1868889.3005267605
37500,125000.0B,1791706.0000954156,16,1.2857142857142858,1.2857142857142858,-0.11156378323555073,0.11156378323555073,1902370.0,2016696.26506283
1500,500000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
150000,500000.0B,0.0,0,0.0,0.0,1.0,1.0,2000090.0,2101898.5104900594
37500,2500.0B,1379807.097006161,160,0.01910828025477707,0.01910828025477707,-0.02263595962405472,0.02263595962405472,1279640.0,1411763.7236534865
750,5000.0B,0.0,21,0.3125,0.3125,-1.0,1.0,77.8378,28628.23061630219
750,50000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
1500,500.0B,846.8598044165282,18,0.0,0.0,-0.9949364217436455,0.9949364217436455,611.892,167245.3276205954
37500,200000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
1500,50000.0B,1765803.8569414816,71,0.0,0.0,0.10886555316947513,0.10886555316947513,1455380.0,1592441.7995439365
750,7500.0B,0.0,21,0.6153846153846154,0.6153846153846154,-1.0,1.0,77.8378,28628.23061630219
150000,1800.0B,1727161.7112422048,331,0.009146341463414634,0.009146341463414634,-0.06774529434972151,0.06774529434972151,1690910.0,1852671.4864232864
750,500000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
1500,1500.0B,303291.54182748764,55,0.0,0.0,0.05248900545599494,0.05248900545599494,274050.0,288165.99532655964
37500,250000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
150000,125000.0B,0.0,12,0.0,0.0,1.0,1.0,1983780.0,2102655.086289445
37500,7500.0B,1308783.5999913518,134,0.03875968992248062,0.03875968992248062,-0.028364702942896412,0.028364702942896412,1225740.0,1346990.587883546
1500,250000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
37500,175000.0B,0.0,0,0.0,0.0,1.0,1.0,1918840.0,2016765.0663648774
750,2500.0B,0.0,21,0.05,0.05,-1.0,1.0,77.8378,28628.23061630219
750,1500.0B,0.0,21,0.0,0.0,-1.0,1.0,77.8378,28628.23061630219
1500,1800.0B,385603.0982489932,64,0.0,0.0,0.011238531419310674,0.011238531419310674,345419.0,381317.6478825278
1500,150000.0B,0.0,0,0.0,0.0,1.0,1.0,1892250.0,1989369.5160135883
37500,1800.0B,1613410.9676148598,186,0.010869565217391304,0.010869565217391304,-0.003555281815556041,0.003555281815556041,1467590.0,1619167.564613669
750,175000.0B,0.0,21,0.0,0.0,1.0,1.0,77.8378,28628.23061630219
750,500.0B,846.8598044165282,18,0.0,0.0,-0.9949364217436455,0.9949364217436455,611.892,167245.3276205954
1500,125000.0B,0.0,14,0.0,0.0,1.0,1.0,1887960.0,1984319.4847460068
150000,500.0B,846.8598044165282,18,0.0,0.0,-0.9949364217436455,0.9949364217436455,611.892,167245.3276205954
7500,250000.0B,0.0,0,0.0,0.0,1.0,1.0,1897590.0,1993908.4506875593
1500,100000.0B,0.0,13,0.0,0.0,1.0,1.0,1717770.0,1851782.4015128694
1500,7500.0B,1649248.437109681,80,0.0958904109589041,0.0958904109589041,0.0016340391148221228,0.0016340391148221228,1494650.0,1646557.8971009988
1500,10000.0B,1771573.6976371212,65,0.015625,0.015625,0.10133866347637321,0.10133866347637321,1457390.0,1608563.974359306
