burst,queue_size,rate,lost,error_lost,error_lost_abs,error_rate,error_rate_abs,actual_rate,rx_rate
7500,150000.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
150000,225000.0B,2036839.4044454563,0,0,0,-0.030952543959619848,0.030952543959619848,2000090.0,2101898.5104900594
150000,15000.0B,9378821.444398753,270,0,0,4.533918183348472,4.533918183348472,1681820.0,1694788.5989025955
37500,3750.0B,15664561.939644596,199,0,0,8.68024088356984,8.68024088356984,1468300.0,1618199.6014408972
750,150000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
37500,1875.0B,19870967.741935182,200,0,0,11.017881942996969,11.017881942996969,1503190.0,1653450.07016934
750,15000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
7500,13125.0B,2000000.0000002203,88,0,0,0.08268116998804381,0.08268116998804381,1675370.0,1847265.8945590663
150000,13125.0B,19537933.66370543,283,0,0,9.386090968490983,9.386090968490983,1709100.0,1881163.3484608443
150000,750.0B,3569665.799316956,19,0,0,5.889093202229092,5.889093202229092,1920.0,518161.92560175055
7500,750.0B,3569665.799316956,19,0,0,5.889093202229092,5.889093202229092,1920.0,518161.92560175055
37500,9375.0B,2938534.278960745,163,0,0,0.8261247447175524,0.8261247447175524,1481910.0,1609164.0439466524
750,262500.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
1500,9375.0B,1999999.999999924,83,0,0,0.051701872540041216,0.051701872540041216,1740700.0,1901679.6035264058
7500,7500.0B,2164799.601692241,76,0,0,0.376839278368855,0.376839278368855,1425060.0,1572296.5168867675
1500,300000.0B,2000000.0000000722,0,0,0,0.00534364475825781,0.00534364475825781,1892250.0,1989369.5160135883
1500,187500.0B,2000000.0000000722,0,0,0,0.00534364475825781,0.00534364475825781,1892250.0,1989369.5160135883
7500,300000.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
150000,3750.0B,19733333.33330143,297,0,0,10.440681303221286,10.440681303221286,1621110.0,1724839.0030535357
150000,187500.0B,2036839.4044454563,0,0,0,-0.030952543959619848,0.030952543959619848,2000090.0,2101898.5104900594
150000,262500.0B,2036839.4044454563,0,0,0,-0.030952543959619848,0.030952543959619848,2000090.0,2101898.5104900594
7500,9375.0B,2045564.1919055725,95,0,0,0.256372308145842,0.256372308145842,1627290.0,1628151.288151537
750,5625.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
1500,13125.0B,1999999.999999924,84,0,0,0.19865466028187442,0.19865466028187442,1651530.0,1668537.2912408367
750,75000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
750,375000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
150000,150000.0B,2036839.4044454563,0,0,0,-0.030952543959619848,0.030952543959619848,2000090.0,2101898.5104900594
150000,9375.0B,19644444.444412682,284,0,0,9.341913846339587,9.341913846339587,1723320.0,1899497.978448702
37500,300000.0B,2015164.279696254,0,0,0,-0.0007937397842321185,0.0007937397842321185,1918840.0,2016765.0663648774
7500,750000.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
7500,11250.0B,2053823.8141336455,73,0,0,0.2703125171408197,0.2703125171408197,1470680.0,1616786.2525328246
1500,1875.0B,1999666.7222125463,59,0,0,4.276345607390299,4.276345607390299,344424.0,378987.06244938134
750,225000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
37500,15000.0B,2165812.4811576633,137,0,0,0.23647104477791991,0.23647104477791991,1590270.0,1751607.9250741052
37500,11250.0B,3655508.8905879403,154,0,0,1.338530973946889,1.338530973946889,1416890.0,1563164.6239939698
7500,187500.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
750,750000.0B,6891.981444665342,21,0,0,-0.7592592592592592,0.7592592592592592,77.8378,28628.23061630219
750,750.0B,1150362.3188405803,19,0,0,2.4859514757557433,2.4859514757557433,1242.52,329999.52146241086
7500,375000.0B,2000000.0000000722,0,0,0,0.0030550797407033945,0.0030550797407033945,1897590.0,1993908.4506875593
